Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:44sYqNBttbXNxya33FJ3Dj,"Camelot","Top Shotta","NLE Choppa",2020-08-07,148759,74,true,,2021-05-05T12:30:10Z,"","Warner Records",0.787,0.713,7,-5.252,1,0.401,0.0849,0,0.717,0.761,175.046,4
spotify:track:1Z0cZI0UzNbP9L8MzzGxqf,"Walk Em Down (feat. Roddy Ricch)","Top Shotta","NLE Choppa;Roddy Ricch",2020-08-07,173288,74,true,,2021-05-05T12:30:09Z,"melodic rap","Warner Records",0.867,0.744,2,-5.171,1,0.227,0.268,0,0.0713,0.645,84.005,4
spotify:track:4jPy3l0RUwlUI9T5XHBW2m,"Mood (feat. iann dior)","El Dorado","24kGoldn;iann dior",2021-03-26,140525,82,true,,2021-05-03T18:50:27Z,"melodic rap","Records/Columbia",0.701,0.716,7,-3.671,0,0.0361,0.174,0,0.324,0.732,91.007,4
spotify:track:4qKcDkK6siZ7Jp1Jb4m0aL,"Look Alive (feat. Drake)","Look Alive (feat. Drake)","BlocBoy JB;Drake",2018-02-09,181263,8,true,,2021-03-20T15:19:18Z,"rap","OVO Sound/Warner Records",0.922,0.581,10,-7.495,1,0.27,0.00104,0.0000586,0.105,0.595,140.022,4
spotify:track:2z4cwnHBebyWzfOYRFRGXv,"556","Bawskee 4","Comethazine",2020-10-23,147200,0,true,,2021-03-20T15:12:02Z,"","Alamo Records",0.868,0.512,8,-10.708,0,0.477,0.274,0,0.0706,0.715,150.002,4
spotify:track:17vGPZ5EsdvtgAOCD4FLWI,"AP - Music from the film Boogie","AP (Music from the film Boogie)","Pop Smoke",2021-02-26,171891,18,true,,2021-03-13T15:21:02Z,"brooklyn drill,new york drill,drill","Victor Victor Worldwide / Republic Records",0.751,0.744,1,-6.859,1,0.177,0.152,0.000568,0.252,0.634,148.014,4
spotify:track:40mjsnRjCpycdUw3xhS20g,"GATTI","JACKBOYS","JACKBOYS;Pop Smoke;Travis Scott",2019-12-27,181144,71,true,,2021-03-08T15:32:43Z,"brooklyn drill,new york drill,drill,rap","Cactus Jack/Epic",0.594,0.676,2,-5.808,1,0.344,0.135,0,0.163,0.472,143.477,4
spotify:track:5m6F6glTwHhsolaKD0gGu0,"Gust of Wind","G I R L","Pharrell Williams",2014-03-03,285619,53,false,,2021-03-04T10:55:54Z,"","Columbia",0.751,0.732,5,-7.616,0,0.0517,0.101,0.0000446,0.119,0.675,100.02,4
spotify:track:60nZcImufyMA1MKQY3dcCH,"Happy - From ""Despicable Me 2""","G I R L","Pharrell Williams",2014-03-03,233306,85,false,,2021-03-03T20:06:54Z,"","Columbia",0.647,0.822,5,-4.662,0,0.183,0.219,0,0.0908,0.962,160.019,4
spotify:track:1UAmQe8EwpxQ80OfYVD13z,"Lookin","Playboi Carti","Playboi Carti;Lil Uzi Vert",2017-04-14,183552,61,true,,2021-03-01T16:55:08Z,"rage rap,melodic rap","AWGE Label",0.827,0.57,0,-8.22,1,0.365,0.0457,0,0.148,0.412,148.119,4
